date,facility_id,resource_id,quantity_consumed
2025-01-01,FAC001,RES001,208
2025-01-01,FAC001,RES002,117
2025-01-01,FAC001,RES003,123
2025-01-01,FAC001,RES004,285
2025-01-01,FAC001,RES005,216
2025-01-01,FAC001,RES006,58
2025-01-01,FAC001,RES007,80
2025-01-01,FAC001,RES008,45
2025-01-01,FAC001,RES009,252
2025-01-01,FAC001,RES010,70
2025-01-01,FAC001,RES011,144
2025-01-01,FAC001,RES012,57
2025-01-01,FAC001,RES013,106
2025-01-01,FAC001,RES014,165
2025-01-01,FAC001,RES015,245
2025-01-01,FAC001,RES016,213
2025-01-01,FAC001,RES017,116
2025-01-01,FAC001,RES018,48
2025-01-01,FAC001,RES019,66
2025-01-01,FAC001,RES020,288
2025-01-01,FAC001,RES021,18
2025-01-01,FAC001,RES022,20
2025-01-01,FAC001,RES023,140
2025-01-01,FAC001,RES024,98
2025-01-01,FAC001,RES025,54
2025-01-01,FAC002,RES001,328
2025-01-01,FAC002,RES002,114
2025-01-01,FAC002,RES003,132
2025-01-01,FAC002,RES004,422
2025-01-01,FAC002,RES005,240
2025-01-01,FAC002,RES006,112
2025-01-01,FAC002,RES007,90
2025-01-01,FAC002,RES008,44
2025-01-01,FAC002,RES009,423
2025-01-01,FAC002,RES010,113
2025-01-01,FAC002,RES011,152
2025-01-01,FAC002,RES012,98
2025-01-01,FAC002,RES013,76
2025-01-01,FAC002,RES014,178
2025-01-01,FAC002,RES015,277
2025-01-01,FAC002,RES016,244
2025-01-01,FAC002,RES017,181
2025-01-01,FAC002,RES018,61
2025-01-01,FAC002,RES019,59
2025-01-01,FAC002,RES020,362
2025-01-01,FAC002,RES021,51
2025-01-01,FAC002,RES022,14
2025-01-01,FAC002,RES023,131
2025-01-01,FAC002,RES024,137
2025-01-01,FAC002,RES025,49
2025-01-01,FAC003,RES001,234
2025-01-01,FAC003,RES002,144
2025-01-01,FAC003,RES003,126
2025-01-01,FAC003,RES004,445
2025-01-01,FAC003,RES005,270
2025-01-01,FAC003,RES006,92
2025-01-01,FAC003,RES007,74
2025-01-01,FAC003,RES008,70
2025-01-01,FAC003,RES009,274
2025-01-01,FAC003,RES010,105
2025-01-01,FAC003,RES011,175
2025-01-01,FAC003,RES012,54
2025-01-01,FAC003,RES013,108
2025-01-01,FAC003,RES014,174
2025-01-01,FAC003,RES015,302
2025-01-01,FAC003,RES016,264
2025-01-01,FAC003,RES017,149
2025-01-01,FAC003,RES018,61
2025-01-01,FAC003,RES019,83
2025-01-01,FAC003,RES020,349
2025-01-01,FAC003,RES021,31
2025-01-01,FAC003,RES022,12
2025-01-01,FAC003,RES023,119
2025-01-01,FAC003,RES024,149
2025-01-01,FAC003,RES025,29
2025-01-01,FAC004,RES001,273
2025-01-01,FAC004,RES002,102
2025-01-01,FAC004,RES003,128
2025-01-01,FAC004,RES004,377
2025-01-01,FAC004,RES005,247
2025-01-01,FAC004,RES006,98
2025-01-01,FAC004,RES007,88
2025-01-01,FAC004,RES008,42
2025-01-01,FAC004,RES009,220
2025-01-01,FAC004,RES010,102
2025-01-01,FAC004,RES011,187
2025-01-01,FAC004,RES012,69
2025-01-01,FAC004,RES013,89
2025-01-01,FAC004,RES014,207
2025-01-01,FAC004,RES015,230
2025-01-01,FAC004,RES016,283
2025-01-01,FAC004,RES017,121
2025-01-01,FAC004,RES018,77
2025-01-01,FAC004,RES019,40
2025-01-01,FAC004,RES020,295
2025-01-01,FAC004,RES021,37
2025-01-01,FAC004,RES022,8
2025-01-01,FAC004,RES023,156
2025-01-01,FAC004,RES024,123
2025-01-01,FAC004,RES025,55
2025-01-01,FAC005,RES001,100
2025-01-01,FAC005,RES002,46
2025-01-01,FAC005,RES003,54
2025-01-01,FAC005,RES004,143
2025-01-01,FAC005,RES005,104
2025-01-01,FAC005,RES006,29
2025-01-01,FAC005,RES007,47
2025-01-01,FAC005,RES008,23
2025-01-01,FAC005,RES009,100
2025-01-01,FAC005,RES010,38
2025-01-01,FAC005,RES011,51
2025-01-01,FAC005,RES012,25
2025-01-01,FAC005,RES013,28
2025-01-01,FAC005,RES014,70
2025-01-01,FAC005,RES015,91
2025-01-01,FAC005,RES016,97
2025-01-01,FAC005,RES017,42
2025-01-01,FAC005,RES018,20
2025-01-01,FAC005,RES019,19
2025-01-01,FAC005,RES020,100
2025-01-01,FAC005,RES021,16
2025-01-01,FAC005,RES022,6
2025-01-01,FAC005,RES023,55
2025-01-01,FAC005,RES024,57
2025-01-01,FAC005,RES025,28
2025-01-01,FAC006,RES001,120
2025-01-01,FAC006,RES002,50
2025-01-01,FAC006,RES003,49
2025-01-01,FAC006,RES004,162
2025-01-01,FAC006,RES005,83
2025-01-01,FAC006,RES006,32
2025-01-01,FAC006,RES007,46
2025-01-01,FAC006,RES008,16
2025-01-01,FAC006,RES009,101
2025-01-01,FAC006,RES010,39
2025-01-01,FAC006,RES011,64
2025-01-01,FAC006,RES012,31
2025-01-01,FAC006,RES013,36
2025-01-01,FAC006,RES014,62
2025-01-01,FAC006,RES015,109
2025-01-01,FAC006,RES016,108
2025-01-01,FAC006,RES017,76
2025-01-01,FAC006,RES018,20
2025-01-01,FAC006,RES019,26
2025-01-01,FAC006,RES020,122
2025-01-01,FAC006,RES021,12
2025-01-01,FAC006,RES022,8
2025-01-01,FAC006,RES023,40
2025-01-01,FAC006,RES024,28
2025-01-01,FAC006,RES025,14
2025-01-01,FAC007,RES001,95
2025-01-01,FAC007,RES002,51
2025-01-01,FAC007,RES003,36
2025-01-01,FAC007,RES004,133
2025-01-01,FAC007,RES005,82
2025-01-01,FAC007,RES006,26
2025-01-01,FAC007,RES007,18
2025-01-01,FAC007,RES008,26
2025-01-01,FAC007,RES009,94
2025-01-01,FAC007,RES010,37
2025-01-01,FAC007,RES011,54
2025-01-01,FAC007,RES012,27
2025-01-01,FAC007,RES013,38
2025-01-01,FAC007,RES014,54
2025-01-01,FAC007,RES015,82
2025-01-01,FAC007,RES016,84
2025-01-01,FAC007,RES017,40
2025-01-01,FAC007,RES018,23
2025-01-01,FAC007,RES019,17
2025-01-01,FAC007,RES020,124
2025-01-01,FAC007,RES021,5
2025-01-01,FAC007,RES022,3
2025-01-01,FAC007,RES023,51
2025-01-01,FAC007,RES024,32
2025-01-01,FAC007,RES025,12
2025-01-01,FAC008,RES001,163
2025-01-01,FAC008,RES002,54
2025-01-01,FAC008,RES003,62
2025-01-01,FAC008,RES004,125
2025-01-01,FAC008,RES005,111
2025-01-01,FAC008,RES006,38
2025-01-01,FAC008,RES007,32
2025-01-01,FAC008,RES008,26
2025-01-01,FAC008,RES009,134
2025-01-01,FAC008,RES010,31
2025-01-01,FAC008,RES011,64
2025-01-01,FAC008,RES012,38
2025-01-01,FAC008,RES013,39
2025-01-01,FAC008,RES014,71
2025-01-01,FAC008,RES015,130
2025-01-01,FAC008,RES016,129
2025-01-01,FAC008,RES017,62
2025-01-01,FAC008,RES018,22
2025-01-01,FAC008,RES019,27
2025-01-01,FAC008,RES020,143
2025-01-01,FAC008,RES021,19
2025-01-01,FAC008,RES022,8
2025-01-01,FAC008,RES023,65
2025-01-01,FAC008,RES024,64
2025-01-01,FAC008,RES025,31
2025-01-01,FAC009,RES001,125
2025-01-01,FAC009,RES002,58
2025-01-01,FAC009,RES003,68
2025-01-01,FAC009,RES004,178
2025-01-01,FAC009,RES005,108
2025-01-01,FAC009,RES006,52
2025-01-01,FAC009,RES007,40
2025-01-01,FAC009,RES008,34
2025-01-01,FAC009,RES009,114
2025-01-01,FAC009,RES010,49
2025-01-01,FAC009,RES011,96
2025-01-01,FAC009,RES012,40
2025-01-01,FAC009,RES013,57
2025-01-01,FAC009,RES014,81
2025-01-01,FAC009,RES015,155
2025-01-01,FAC009,RES016,76
2025-01-01,FAC009,RES017,49
2025-01-01,FAC009,RES018,16
2025-01-01,FAC009,RES019,28
2025-01-01,FAC009,RES020,146
2025-01-01,FAC009,RES021,22
2025-01-01,FAC009,RES022,5
2025-01-01,FAC009,RES023,68
2025-01-01,FAC009,RES024,51
2025-01-01,FAC009,RES025,27
2025-01-01,FAC010,RES001,106
2025-01-01,FAC010,RES002,42
2025-01-01,FAC010,RES003,78
2025-01-01,FAC010,RES004,182
2025-01-01,FAC010,RES005,83
2025-01-01,FAC010,RES006,30
2025-01-01,FAC010,RES007,42
2025-01-01,FAC010,RES008,21
2025-01-01,FAC010,RES009,117
2025-01-01,FAC010,RES010,59
2025-01-01,FAC010,RES011,69
2025-01-01,FAC010,RES012,40
2025-01-01,FAC010,RES013,31
2025-01-01,FAC010,RES014,78
2025-01-01,FAC010,RES015,147
2025-01-01,FAC010,RES016,125
2025-01-01,FAC010,RES017,48
2025-01-01,FAC010,RES018,27
2025-01-01,FAC010,RES019,27
2025-01-01,FAC010,RES020,145
2025-01-01,FAC010,RES021,14
2025-01-01,FAC010,RES022,3
2025-01-01,FAC010,RES023,67
2025-01-01,FAC010,RES024,78
2025-01-01,FAC010,RES025,25
2025-01-01,FAC011,RES001,103
2025-01-01,FAC011,RES002,47
2025-01-01,FAC011,RES003,48
2025-01-01,FAC011,RES004,136
2025-01-01,FAC011,RES005,99
2025-01-01,FAC011,RES006,26
2025-01-01,FAC011,RES007,26
2025-01-01,FAC011,RES008,18
2025-01-01,FAC011,RES009,106
2025-01-01,FAC011,RES010,39
2025-01-01,FAC011,RES011,66
2025-01-01,FAC011,RES012,26
2025-01-01,FAC011,RES013,44
2025-01-01,FAC011,RES014,73
2025-01-01,FAC011,RES015,87
2025-01-01,FAC011,RES016,97
2025-01-01,FAC011,RES017,68
2025-01-01,FAC011,RES018,21
2025-01-01,FAC011,RES019,25
2025-01-01,FAC011,RES020,135
2025-01-01,FAC011,RES021,6
2025-01-01,FAC011,RES022,4
2025-01-01,FAC011,RES023,56
2025-01-01,FAC011,RES024,55
2025-01-01,FAC011,RES025,21
2025-01-01,FAC012,RES001,149
2025-01-01,FAC012,RES002,56
2025-01-01,FAC012,RES003,68
2025-01-01,FAC012,RES004,145
2025-01-01,FAC012,RES005,82
2025-01-01,FAC012,RES006,36
2025-01-01,FAC012,RES007,49
2025-01-01,FAC012,RES008,43
2025-01-01,FAC012,RES009,138
2025-01-01,FAC012,RES010,52
2025-01-01,FAC012,RES011,83
2025-01-01,FAC012,RES012,39
2025-01-01,FAC012,RES013,45
2025-01-01,FAC012,RES014,89
2025-01-01,FAC012,RES015,133
2025-01-01,FAC012,RES016,127
2025-01-01,FAC012,RES017,76
2025-01-01,FAC012,RES018,28
2025-01-01,FAC012,RES019,23
2025-01-01,FAC012,RES020,141
2025-01-01,FAC012,RES021,8
2025-01-01,FAC012,RES022,12
2025-01-01,FAC012,RES023,82
2025-01-01,FAC012,RES024,68
2025-01-01,FAC012,RES025,29
2025-01-01,FAC013,RES001,48
2025-01-01,FAC013,RES002,19
2025-01-01,FAC013,RES003,20
2025-01-01,FAC013,RES004,51
2025-01-01,FAC013,RES005,39
2025-01-01,FAC013,RES006,19
2025-01-01,FAC013,RES007,7
2025-01-01,FAC013,RES008,10
2025-01-01,FAC013,RES009,59
2025-01-01,FAC013,RES010,16
2025-01-01,FAC013,RES011,34
2025-01-01,FAC013,RES012,6
2025-01-01,FAC013,RES013,23
2025-01-01,FAC013,RES014,32
2025-01-01,FAC013,RES015,54
2025-01-01,FAC013,RES016,45
2025-01-01,FAC013,RES017,25
2025-01-01,FAC013,RES018,13
2025-01-01,FAC013,RES019,8
2025-01-01,FAC013,RES020,51
2025-01-01,FAC013,RES021,6
2025-01-01,FAC013,RES022,2
2025-01-01,FAC013,RES023,33
2025-01-01,FAC013,RES024,20
2025-01-01,FAC013,RES025,6
2025-01-01,FAC014,RES001,30
2025-01-01,FAC014,RES002,23
2025-01-01,FAC014,RES003,18
2025-01-01,FAC014,RES004,58
2025-01-01,FAC014,RES005,35
2025-01-01,FAC014,RES006,14
2025-01-01,FAC014,RES007,13
2025-01-01,FAC014,RES008,7
2025-01-01,FAC014,RES009,36
2025-01-01,FAC014,RES010,17
2025-01-01,FAC014,RES011,24
2025-01-01,FAC014,RES012,10
2025-01-01,FAC014,RES013,16
2025-01-01,FAC014,RES014,21
2025-01-01,FAC014,RES015,53
2025-01-01,FAC014,RES016,45
2025-01-01,FAC014,RES017,17
2025-01-01,FAC014,RES018,7
2025-01-01,FAC014,RES019,9
2025-01-01,FAC014,RES020,42
2025-01-01,FAC014,RES021,4
2025-01-01,FAC014,RES022,5
2025-01-01,FAC014,RES023,15
2025-01-01,FAC014,RES024,25
2025-01-01,FAC014,RES025,5
2025-01-01,FAC015,RES001,45
2025-01-01,FAC015,RES002,18
2025-01-01,FAC015,RES003,18
2025-01-01,FAC015,RES004,41
2025-01-01,FAC015,RES005,31
2025-01-01,FAC015,RES006,12
2025-01-01,FAC015,RES007,14
2025-01-01,FAC015,RES008,10
2025-01-01,FAC015,RES009,46
2025-01-01,FAC015,RES010,15
2025-01-01,FAC015,RES011,21
2025-01-01,FAC015,RES012,15
2025-01-01,FAC015,RES013,14
2025-01-01,FAC015,RES014,22
2025-01-01,FAC015,RES015,43
2025-01-01,FAC015,RES016,26
2025-01-01,FAC015,RES017,24
2025-01-01,FAC015,RES018,6
2025-01-01,FAC015,RES019,10
2025-01-01,FAC015,RES020,44
2025-01-01,FAC015,RES021,3
2025-01-01,FAC015,RES022,3
2025-01-01,FAC015,RES023,19
2025-01-01,FAC015,RES024,12
2025-01-01,FAC015,RES025,6
2025-01-01,FAC016,RES001,46
2025-01-01,FAC016,RES002,27
2025-01-01,FAC016,RES003,13
2025-01-01,FAC016,RES004,39
2025-01-01,FAC016,RES005,46
2025-01-01,FAC016,RES006,12
2025-01-01,FAC016,RES007,15
2025-01-01,FAC016,RES008,4
2025-01-01,FAC016,RES009,42
2025-01-01,FAC016,RES010,10
2025-01-01,FAC016,RES011,18
2025-01-01,FAC016,RES012,8
2025-01-01,FAC016,RES013,7
2025-01-01,FAC016,RES014,14
2025-01-01,FAC016,RES015,27
2025-01-01,FAC016,RES016,36
2025-01-01,FAC016,RES017,18
2025-01-01,FAC016,RES018,7
2025-01-01,FAC016,RES019,9
2025-01-01,FAC016,RES020,51
2025-01-01,FAC016,RES021,2
2025-01-01,FAC016,RES022,1
2025-01-01,FAC016,RES023,18
2025-01-01,FAC016,RES024,23
2025-01-01,FAC016,RES025,9
2025-01-01,FAC017,RES001,42
2025-01-01,FAC017,RES002,17
2025-01-01,FAC017,RES003,18
2025-01-01,FAC017,RES004,58
2025-01-01,FAC017,RES005,51
2025-01-01,FAC017,RES006,11
2025-01-01,FAC017,RES007,5
2025-01-01,FAC017,RES008,8
2025-01-01,FAC017,RES009,36
2025-01-01,FAC017,RES010,10
2025-01-01,FAC017,RES011,18
2025-01-01,FAC017,RES012,10
2025-01-01,FAC017,RES013,18
2025-01-01,FAC017,RES014,23
2025-01-01,FAC017,RES015,26
2025-01-01,FAC017,RES016,37
2025-01-01,FAC017,RES017,25
2025-01-01,FAC017,RES018,5
2025-01-01,FAC017,RES019,6
2025-01-01,FAC017,RES020,48
2025-01-01,FAC017,RES021,4
2025-01-01,FAC017,RES022,5
2025-01-01,FAC017,RES023,15
2025-01-01,FAC017,RES024,20
2025-01-01,FAC017,RES025,7
2025-01-01,FAC018,RES001,26
2025-01-01,FAC018,RES002,10
2025-01-01,FAC018,RES003,18
2025-01-01,FAC018,RES004,68
2025-01-01,FAC018,RES005,28
2025-01-01,FAC018,RES006,11
2025-01-01,FAC018,RES007,11
2025-01-01,FAC018,RES008,6
2025-01-01,FAC018,RES009,52
2025-01-01,FAC018,RES010,18
2025-01-01,FAC018,RES011,26
2025-01-01,FAC018,RES012,10
2025-01-01,FAC018,RES013,10
2025-01-01,FAC018,RES014,30
2025-01-01,FAC018,RES015,36
2025-01-01,FAC018,RES016,48
2025-01-01,FAC018,RES017,23
2025-01-01,FAC018,RES018,6
2025-01-01,FAC018,RES019,14
2025-01-01,FAC018,RES020,52
2025-01-01,FAC018,RES021,4
2025-01-01,FAC018,RES022,1
2025-01-01,FAC018,RES023,23
2025-01-01,FAC018,RES024,27
2025-01-01,FAC018,RES025,10
2025-01-01,FAC019,RES001,45
2025-01-01,FAC019,RES002,10
2025-01-01,FAC019,RES003,15
2025-01-01,FAC019,RES004,54
2025-01-01,FAC019,RES005,50
2025-01-01,FAC019,RES006,17
2025-01-01,FAC019,RES007,14
2025-01-01,FAC019,RES008,4
2025-01-01,FAC019,RES009,52
2025-01-01,FAC019,RES010,18
2025-01-01,FAC019,RES011,31
2025-01-01,FAC019,RES012,6
2025-01-01,FAC019,RES013,14
2025-01-01,FAC019,RES014,40
2025-01-01,FAC019,RES015,54
2025-01-01,FAC019,RES016,42
2025-01-01,FAC019,RES017,18
2025-01-01,FAC019,RES018,8
2025-01-01,FAC019,RES019,8
2025-01-01,FAC019,RES020,47
2025-01-01,FAC019,RES021,3
2025-01-01,FAC019,RES022,4
2025-01-01,FAC019,RES023,14
2025-01-01,FAC019,RES024,13
2025-01-01,FAC019,RES025,5
2025-01-01,FAC020,RES001,45
2025-01-01,FAC020,RES002,16
2025-01-01,FAC020,RES003,18
2025-01-01,FAC020,RES004,54
2025-01-01,FAC020,RES005,41
2025-01-01,FAC020,RES006,15
2025-01-01,FAC020,RES007,8
2025-01-01,FAC020,RES008,10
2025-01-01,FAC020,RES009,24
2025-01-01,FAC020,RES010,14
2025-01-01,FAC020,RES011,30
2025-01-01,FAC020,RES012,22
2025-01-01,FAC020,RES013,14
2025-01-01,FAC020,RES014,29
2025-01-01,FAC020,RES015,43
2025-01-01,FAC020,RES016,33
2025-01-01,FAC020,RES017,17
2025-01-01,FAC020,RES018,6
2025-01-01,FAC020,RES019,14
2025-01-01,FAC020,RES020,47
2025-01-01,FAC020,RES021,3
2025-01-01,FAC020,RES022,2
2025-01-01,FAC020,RES023,20
2025-01-01,FAC020,RES024,13
2025-01-01,FAC020,RES025,5
2025-01-02,FAC001,RES001,233
2025-01-02,FAC001,RES002,106
2025-01-02,FAC001,RES003,132
2025-01-02,FAC001,RES004,327
2025-01-02,FAC001,RES005,201
2025-01-02,FAC001,RES006,74
2025-01-02,FAC001,RES007,91
2025-01-02,FAC001,RES008,39
2025-01-02,FAC001,RES009,293
2025-01-02,FAC001,RES010,102
2025-01-02,FAC001,RES011,174
2025-01-02,FAC001,RES012,55
2025-01-02,FAC001,RES013,108
2025-01-02,FAC001,RES014,159
2025-01-02,FAC001,RES015,251
2025-01-02,FAC001,RES016,224
2025-01-02,FAC001,RES017,145
2025-01-02,FAC001,RES018,57
2025-01-02,FAC001,RES019,48
2025-01-02,FAC001,RES020,351
2025-01-02,FAC001,RES021,30
2025-01-02,FAC001,RES022,13
2025-01-02,FAC001,RES023,137
2025-01-02,FAC001,RES024,121
2025-01-02,FAC001,RES025,41
2025-01-02,FAC002,RES001,323
2025-01-02,FAC002,RES002,86
2025-01-02,FAC002,RES003,162
2025-01-02,FAC002,RES004,398
2025-01-02,FAC002,RES005,300
2025-01-02,FAC002,RES006,72
2025-01-02,FAC002,RES007,73
2025-01-02,FAC002,RES008,67
2025-01-02,FAC002,RES009,329
2025-01-02,FAC002,RES010,97
2025-01-02,FAC002,RES011,143
2025-01-02,FAC002,RES012,70
2025-01-02,FAC002,RES013,100
2025-01-02,FAC002,RES014,200
2025-01-02,FAC002,RES015,270
2025-01-02,FAC002,RES016,238
2025-01-02,FAC002,RES017,142
2025-01-02,FAC002,RES018,61
2025-01-02,FAC002,RES019,62
2025-01-02,FAC002,RES020,301
2025-01-02,FAC002,RES021,31
2025-01-02,FAC002,RES022,11
2025-01-02,FAC002,RES023,157
2025-01-02,FAC002,RES024,125
2025-01-02,FAC002,RES025,36
2025-01-02,FAC003,RES001,242
2025-01-02,FAC003,RES002,151
2025-01-02,FAC003,RES003,118
2025-01-02,FAC003,RES004,447
2025-01-02,FAC003,RES005,290
2025-01-02,FAC003,RES006,97
2025-01-02,FAC003,RES007,69
2025-01-02,FAC003,RES008,60
2025-01-02,FAC003,RES009,282
2025-01-02,FAC003,RES010,93
2025-01-02,FAC003,RES011,171
2025-01-02,FAC003,RES012,87
2025-01-02,FAC003,RES013,133
2025-01-02,FAC003,RES014,200
2025-01-02,FAC003,RES015,300
2025-01-02,FAC003,RES016,210
2025-01-02,FAC003,RES017,119
2025-01-02,FAC003,RES018,58
2025-01-02,FAC003,RES019,69
2025-01-02,FAC003,RES020,381
2025-01-02,FAC003,RES021,35
2025-01-02,FAC003,RES022,19
2025-01-02,FAC003,RES023,134
2025-01-02,FAC003,RES024,119
2025-01-02,FAC003,RES025,39
2025-01-02,FAC004,RES001,265
2025-01-02,FAC004,RES002,115
2025-01-02,FAC004,RES003,116
2025-01-02,FAC004,RES004,465
2025-01-02,FAC004,RES005,246
2025-01-02,FAC004,RES006,67
2025-01-02,FAC004,RES007,91
2025-01-02,FAC004,RES008,38
2025-01-02,FAC004,RES009,223
2025-01-02,FAC004,RES010,77
2025-01-02,FAC004,RES011,184
2025-01-02,FAC004,RES012,54
2025-01-02,FAC004,RES013,100
2025-01-02,FAC004,RES014,165
2025-01-02,FAC004,RES015,292
2025-01-02,FAC004,RES016,255
2025-01-02,FAC004,RES017,120
2025-01-02,FAC004,RES018,68
2025-01-02,FAC004,RES019,58
2025-01-02,FAC004,RES020,240
2025-01-02,FAC004,RES021,42
2025-01-02,FAC004,RES022,11
2025-01-02,FAC004,RES023,203
2025-01-02,FAC004,RES024,116
2025-01-02,FAC004,RES025,55
2025-01-02,FAC005,RES001,116
2025-01-02,FAC005,RES002,34
2025-01-02,FAC005,RES003,41
2025-01-02,FAC005,RES004,162
2025-01-02,FAC005,RES005,100
2025-01-02,FAC005,RES006,37
2025-01-02,FAC005,RES007,39
2025-01-02,FAC005,RES008,30
