facility_id,name,type,district_id,state_id,latitude,longitude,capacity,active_status
FAC001,Central District Hospital,District Hospital,DIST01,STATE01,23.2599,77.4126,300,True
FAC002,North District Hospital,District Hospital,DIST02,STATE01,23.5,77.6,250,True
FAC003,South District Hospital,District Hospital,DIST03,STATE01,22.95,77.3,200,True
FAC004,East Regional Hospital,District Hospital,DIST04,STATE01,23.1,78.1,220,True
FAC005,Berasia CHC,CHC,DIST01,STATE01,23.6333,77.4333,50,True
FAC006,Sehore CHC,CHC,DIST01,STATE01,23.2,77.08,60,True
FAC007,Raisen CHC,CHC,DIST02,STATE01,23.33,77.78,55,True
FAC008,Vidisha CHC,CHC,DIST02,STATE01,23.52,77.81,50,True
FAC009,Hoshangabad CHC,CHC,DIST03,STATE01,22.75,77.72,45,True
FAC010,Itarsi CHC,CHC,DIST03,STATE01,22.61,77.76,50,True
FAC011,Sagar CHC,CHC,DIST04,STATE01,23.83,78.71,50,True
FAC012,Damoh CHC,CHC,DIST04,STATE01,23.83,79.44,40,True
FAC013,Kolar PHC,PHC,DIST01,STATE01,23.18,77.42,10,True
FAC014,Phanda PHC,PHC,DIST01,STATE01,23.22,77.25,12,True
FAC015,Gairatganj PHC,PHC,DIST02,STATE01,23.4,78.2,10,True
FAC016,Silwani PHC,PHC,DIST02,STATE01,23.3,78.43,8,True
FAC017,Babai PHC,PHC,DIST03,STATE01,22.7,77.93,10,True
FAC018,Sohagpur PHC,PHC,DIST03,STATE01,22.69,78.2,10,True
FAC019,Rehli PHC,PHC,DIST04,STATE01,23.63,79.08,12,True
FAC020,Banda PHC,PHC,DIST04,STATE01,24.04,78.96,10,True
