facility_id,resource_id,batch_id,quantity,received_date,expiry_date
FAC001,RES001,BAT-1001,300,2025-11-01,2026-08-28
FAC001,RES002,BAT-1002,1194,2025-09-02,2026-04-19
FAC001,RES002,BAT-1003,1793,2025-12-11,2027-06-12
FAC001,RES003,BAT-1004,2523,2025-11-25,2027-03-03
FAC001,RES004,BAT-1005,2334,2025-09-02,2026-03-02
FAC001,RES004,BAT-1006,3501,2025-12-11,2026-09-25
FAC001,RES005,BAT-1007,1372,2025-09-02,2026-04-13
FAC001,RES005,BAT-1008,2060,2025-12-11,2027-07-16
FAC001,RES006,BAT-1009,904,2025-09-02,2026-05-16
FAC001,RES006,BAT-1010,1358,2025-12-11,2027-01-05
FAC001,RES007,BAT-1011,2203,2025-11-20,2026-07-05
FAC001,RES008,BAT-1012,1108,2025-12-16,2027-02-16
FAC001,RES009,BAT-1013,3240,2025-09-02,2026-04-04
FAC001,RES009,BAT-1014,4862,2025-12-11,2027-04-23
FAC001,RES010,BAT-1015,2245,2025-11-12,2026-07-13
FAC001,RES011,BAT-1016,2274,2025-10-17,2026-10-30
FAC001,RES012,BAT-1017,950,2025-09-02,2026-04-13
FAC001,RES012,BAT-1018,1427,2025-12-11,2026-11-24
FAC001,RES013,BAT-1019,456,2025-09-02,2026-02-24
FAC001,RES013,BAT-1020,685,2025-12-11,2027-08-02
FAC001,RES014,BAT-1021,1379,2025-09-02,2026-03-28
FAC001,RES014,BAT-1022,2069,2025-12-11,2026-09-08
FAC001,RES015,BAT-1023,1774,2025-09-02,2026-04-24
FAC001,RES015,BAT-1024,2663,2025-12-11,2026-10-23
FAC001,RES016,BAT-1025,4527,2025-11-05,2027-07-03
FAC001,RES017,BAT-1026,3024,2025-12-18,2026-10-31
FAC001,RES018,BAT-1027,1318,2025-12-12,2026-11-30
FAC001,RES019,BAT-1028,573,2025-09-02,2026-04-10
FAC001,RES019,BAT-1029,861,2025-12-11,2027-01-24
FAC001,RES020,BAT-1030,2525,2025-09-02,2026-05-20
FAC001,RES020,BAT-1031,3789,2025-12-11,2027-07-06
FAC001,RES021,BAT-1032,905,2025-11-10,2027-02-20
FAC001,RES022,BAT-1033,120,2025-09-02,2026-03-27
FAC001,RES022,BAT-1034,182,2025-12-11,2026-12-09
FAC001,RES023,BAT-1035,2337,2025-11-05,2027-04-18
FAC001,RES024,BAT-1036,2013,2025-12-16,2026-05-31
FAC001,RES025,BAT-1037,660,2025-09-02,2026-04-14
FAC001,RES025,BAT-1038,992,2025-12-11,2026-11-09
FAC002,RES001,BAT-1039,10000,2025-12-01,2026-12-31
FAC002,RES001,BAT-1040,8000,2025-12-16,2027-02-04
FAC002,RES002,BAT-1041,630,2025-09-02,2026-02-26
FAC002,RES002,BAT-1042,945,2025-12-11,2026-11-01
FAC002,RES003,BAT-1043,1719,2025-11-09,2027-03-20
FAC002,RES004,BAT-1044,6217,2025-10-17,2027-04-13
FAC002,RES005,BAT-1045,2836,2025-10-15,2027-01-10
FAC002,RES006,BAT-1046,758,2025-09-02,2026-02-25
FAC002,RES006,BAT-1047,1139,2025-12-11,2026-08-31
FAC002,RES007,BAT-1048,2658,2025-12-03,2026-07-21
