resource_id,supplier_id,quantity,order_date,delivery_date,lead_time_days,unit_price
RES025,SUP003,3033,2025-01-26,2025-02-05,10,4.0
RES015,SUP001,17248,2025-10-24,2025-10-29,5,0.7
RES017,SUP004,5528,2025-10-24,2025-10-27,3,0.55
RES022,SUP003,853,2025-07-14,2025-07-28,14,45.0
RES011,SUP003,10583,2025-08-10,2025-08-13,3,1.8
RES020,SUP001,14834,2025-11-06,2025-11-09,3,0.2
RES013,SUP002,2857,2025-10-15,2025-10-25,10,8.5
RES004,SUP001,16812,2025-09-23,2025-10-07,14,2.5
RES025,SUP001,4735,2025-05-20,2025-06-03,14,4.0
RES006,SUP001,5057,2025-07-29,2025-08-03,5,12.0
RES009,SUP002,13132,2025-08-09,2025-08-12,3,0.3
RES023,SUP002,4785,2025-02-15,2025-02-18,3,1.2
RES003,SUP001,7280,2025-01-21,2025-01-26,5,0.5
RES015,SUP002,6200,2025-08-17,2025-08-20,3,0.7
RES004,SUP002,14099,2025-08-16,2025-08-26,10,2.5
RES008,SUP003,5193,2025-09-12,2025-09-22,10,1.5
RES018,SUP003,1947,2025-11-21,2025-11-28,7,15.0
RES005,SUP001,3100,2025-07-31,2025-08-07,7,6.0
RES020,SUP003,21115,2025-08-09,2025-08-16,7,0.2
RES023,SUP002,7517,2025-07-12,2025-07-19,7,1.2
RES023,SUP004,10668,2025-05-14,2025-05-17,3,1.2
RES023,SUP004,7828,2025-05-29,2025-06-08,10,1.2
RES025,SUP002,2614,2025-07-17,2025-07-22,5,4.0
RES024,SUP002,7291,2025-10-16,2025-10-23,7,1.4
RES017,SUP001,10554,2025-11-15,2025-11-29,14,0.55
RES018,SUP003,2550,2025-03-23,2025-03-30,7,15.0
RES009,SUP002,14117,2025-04-24,2025-04-29,5,0.3
RES014,SUP003,11409,2025-06-09,2025-06-14,5,0.35
RES024,SUP003,5086,2025-04-16,2025-04-19,3,1.4
RES024,SUP001,5090,2025-03-29,2025-04-03,5,1.4
RES005,SUP004,6133,2025-02-16,2025-02-21,5,6.0
RES006,SUP001,1949,2025-05-27,2025-05-30,3,12.0
RES011,SUP001,12578,2025-08-14,2025-08-21,7,1.8
RES001,SUP003,16439,2025-02-01,2025-02-11,10,0.4
RES002,SUP002,9731,2025-03-20,2025-03-25,5,0.6
RES021,SUP004,1205,2025-10-14,2025-10-19,5,25.0
RES012,SUP001,7081,2025-05-13,2025-05-23,10,0.8
RES007,SUP004,5499,2025-01-27,2025-02-01,5,3.0
RES017,SUP002,2985,2025-11-18,2025-11-23,5,0.55
RES007,SUP004,5400,2025-05-20,2025-05-23,3,3.0
RES005,SUP002,10374,2025-01-26,2025-02-02,7,6.0
RES020,SUP002,23172,2025-03-10,2025-03-15,5,0.2
RES015,SUP002,17846,2025-10-26,2025-10-29,3,0.7
RES020,SUP004,14473,2025-07-02,2025-07-07,5,0.2
RES006,SUP001,4672,2025-05-15,2025-05-25,10,12.0
RES012,SUP004,3937,2025-04-05,2025-04-15,10,0.8
RES004,SUP002,16136,2025-07-12,2025-07-17,5,2.5
RES023,SUP002,4540,2025-08-06,2025-08-20,14,1.2
RES013,SUP001,1648,2025-05-28,2025-05-31,3,8.5
RES001,SUP004,17089,2025-04-14,2025-04-17,3,0.4
RES006,SUP001,4687,2025-07-12,2025-07-15,3,12.0
RES001,SUP004,16058,2025-02-10,2025-02-20,10,0.4
RES020,SUP002,8834,2025-11-30,2025-12-03,3,0.2
RES005,SUP001,5764,2025-01-14,2025-01-19,5,6.0
RES012,SUP003,2417,2025-06-08,2025-06-13,5,0.8
RES005,SUP002,9167,2025-03-08,2025-03-22,14,6.0
RES019,SUP002,2605,2025-11-02,2025-11-09,7,4.5
RES013,SUP003,4473,2025-02-15,2025-03-01,14,8.5
RES005,SUP003,8928,2025-01-30,2025-02-04,5,6.0
RES005,SUP004,3978,2025-06-22,2025-06-27,5,6.0
RES011,SUP001,3587,2025-03-05,2025-03-08,3,1.8
RES006,SUP001,3778,2025-07-22,2025-08-01,10,12.0
RES002,SUP004,3606,2025-06-03,2025-06-10,7,0.6
RES010,SUP001,6202,2025-11-15,2025-11-20,5,0.4
RES017,SUP004,6901,2025-09-14,2025-09-19,5,0.55
RES023,SUP001,8778,2025-04-12,2025-04-19,7,1.2
RES013,SUP003,4709,2025-03-17,2025-03-22,5,8.5
RES006,SUP004,2402,2025-08-07,2025-08-12,5,12.0
RES014,SUP002,10421,2025-03-15,2025-03-20,5,0.35
RES021,SUP003,1068,2025-01-13,2025-01-20,7,25.0
RES011,SUP003,8391,2025-01-17,2025-01-22,5,1.8
RES020,SUP001,22986,2025-01-14,2025-01-19,5,0.2
RES024,SUP003,11315,2025-11-11,2025-11-18,7,1.4
RES008,SUP002,3956,2025-07-06,2025-07-20,14,1.5
RES011,SUP001,5619,2025-05-09,2025-05-12,3,1.8
RES019,SUP004,4083,2025-03-15,2025-03-22,7,4.5
RES011,SUP001,11536,2025-01-24,2025-01-31,7,1.8
RES024,SUP003,10319,2025-04-09,2025-04-16,7,1.4
RES019,SUP002,1925,2025-01-27,2025-02-03,7,4.5
RES005,SUP002,8833,2025-01-24,2025-02-03,10,6.0
RES025,SUP001,4966,2025-08-08,2025-08-11,3,4.0
RES022,SUP003,489,2025-11-11,2025-11-14,3,45.0
RES010,SUP004,7496,2025-03-27,2025-04-03,7,0.4
RES023,SUP003,14615,2025-09-08,2025-09-11,3,1.2
RES005,SUP003,8141,2025-11-11,2025-11-25,14,6.0
RES025,SUP004,3096,2025-10-26,2025-11-02,7,4.0
RES024,SUP003,9175,2025-01-15,2025-01-22,7,1.4
RES004,SUP001,6024,2025-08-01,2025-08-04,3,2.5
RES017,SUP004,6760,2025-02-10,2025-02-17,7,0.55
RES005,SUP003,5573,2025-08-11,2025-08-18,7,6.0
RES014,SUP003,15299,2025-07-01,2025-07-15,14,0.35
RES011,SUP002,13699,2025-04-29,2025-05-04,5,1.8
RES010,SUP002,7383,2025-05-03,2025-05-17,14,0.4
RES021,SUP004,1585,2025-08-06,2025-08-11,5,25.0
RES022,SUP004,1481,2025-01-11,2025-01-14,3,45.0
RES012,SUP003,3871,2025-09-13,2025-09-16,3,0.8
RES011,SUP003,4921,2025-09-25,2025-10-02,7,1.8
RES001,SUP003,21481,2025-06-28,2025-07-03,5,0.4
RES004,SUP003,17466,2025-02-28,2025-03-05,5,2.5
RES003,SUP002,6835,2025-07-09,2025-07-14,5,0.5
RES015,SUP004,15492,2025-04-26,2025-05-01,5,0.7
RES007,SUP001,8777,2025-06-22,2025-07-02,10,3.0
RES003,SUP004,5871,2025-05-28,2025-06-04,7,0.5
RES008,SUP002,2666,2025-08-09,2025-08-16,7,1.5
RES015,SUP004,11802,2025-08-14,2025-08-21,7,0.7
RES024,SUP001,3768,2025-02-19,2025-03-01,10,1.4
RES001,SUP001,15276,2025-01-22,2025-01-25,3,0.4
RES018,SUP003,1425,2025-06-28,2025-07-03,5,15.0
RES024,SUP001,12823,2025-11-10,2025-11-15,5,1.4
RES009,SUP004,15661,2025-08-18,2025-08-23,5,0.3
RES003,SUP002,7406,2025-05-28,2025-06-04,7,0.5
RES003,SUP003,4042,2025-07-17,2025-07-22,5,0.5
RES011,SUP001,9590,2025-10-24,2025-11-03,10,1.8
RES005,SUP003,9406,2025-04-28,2025-05-03,5,6.0
RES003,SUP003,6639,2025-10-18,2025-10-28,10,0.5
RES004,SUP003,6797,2025-07-26,2025-07-29,3,2.5
RES020,SUP003,22082,2025-02-17,2025-02-24,7,0.2
RES013,SUP004,2321,2025-04-09,2025-04-14,5,8.5
RES025,SUP002,2621,2025-06-29,2025-07-02,3,4.0
RES001,SUP004,12421,2025-11-21,2025-11-28,7,0.4
RES025,SUP004,3942,2025-10-23,2025-11-02,10,4.0
